participant_id,age,gender,date,trial_number,card_selected,total_before,amount_won,amount_lost,net_change,loss_occurred,total_after,reaction_time_ms
11,33,Male,2026-03-27 11:54:13,1,A,2000,100,300,-200,1,1800,1909
11,33,Male,2026-03-27 11:54:21,2,D,1800,50,250,-200,1,1600,3054
11,33,Male,2026-03-27 11:54:33,3,C,1600,50,0,50,0,1650,1313
11,33,Male,2026-03-27 11:54:39,4,B,1650,100,0,100,0,1750,1475
11,33,Male,2026-03-27 11:54:46,5,A,1750,100,250,-150,1,1600,1353
11,33,Male,2026-03-27 11:54:51,6,B,1600,100,0,100,0,1700,702
11,33,Male,2026-03-27 11:54:58,7,C,1700,50,25,25,1,1725,1338
11,33,Male,2026-03-27 11:55:03,8,B,1725,100,0,100,0,1825,522
11,33,Male,2026-03-27 11:55:09,9,B,1825,100,0,100,0,1925,1098
11,33,Male,2026-03-27 11:55:15,10,D,1925,50,0,50,0,1975,1036
